occ,n
babr,1
chaufforbitrade,1
jjãnstem,1
skradderisrbet.,1
stekr.,1
verksygsfilare,1
materlalforv,1
l:e assist,1
larail,1
jnama haudb,1
kãjsmans,1
expoditionsbitrade,1
kyrkah,1
"kannlnãn, rokuel",1
jordbruksarbet,1
klock. skoll.,1
guldsmedsarb,1
tyghantv.,1
bokhalare,1
bager iarbetare,1
trandst.f.arb,1
gerda helena,1
muaare,1
guldamedslӓrl,1
stufv.arb.,1
"hand.bitr,",1
kioskag.,1
e chark .bitr,1
trademaljerare,1
husassitent,1
hush.f,1
Å__,1
busschuff,1
botesexsekutorn,1
stryk:a fru,1
meelianaren,1
f.svetsare,1
degelst,1
drickutkor.,1
konstantin,1
befakt,1
f.folk.lar,1
"jinnéa, fru",1
f sjuksot,1
f stationsforestandare,1
h. san,1
f.hush:a,1
symasklnsrep,1
rest.bitr.,1
banksnick,1
lassou,1
kootorabirgade,1
f. skoterska,1
f.d. koppar- och platslagaremastaren,1
tor fihbitr,1
exp.form,1
sagmastaren,1
harfris.elev.,1
jernvagsbokh. ingenior,1
emanenel,1
fd bryggaren,1
rolrlagg,1
angbatskommissionar,1
tradg.dr,1
gastgf,1
skogsm.,1
eheaffor,1
velocip. arb.,1
f lagerbokh,1
hand.arb.lar,1
f. sadelmakare,1
fru tandskot.,1
fd astineristen,1
Ŏverktryck,1
handarbeterska,1
ex.skrivbitr.,1
bilrepp,1
ritn.utl,1
Ångb.bef.,1
lagerdr.,1
nandlande,1
rep.forman,1
eges af Åkaren,1
med.lie.,1
arbetare 439,1
jun and,1
koksbit,1
maskinuppsatt.fd,1
skorstenfej,1
handelsfonst,1
biogr.maskinkst,1
f.d.musikfanjunkare,1
f.d.handelsidk,1
f.overskoterska,1
snicker.arb.,1
lagh.ag.,1
garvfare,1
portexped.,1
norabg.,1
torkugnseld,1
distr.sekr,1
f pressare,1
korpr.nr 22,1
forr.arb,1
s__iv__on,1
f ddiv.arb,1
v. brandchef,1
kok.a,1
buggen.arb,1
forsaljningscahef,1
kaner,1
galvanis.arb,1
jgbman,1
f.flaskhandl.,1
smabr..ag,1
muraregesall.,1
lajhund,1
h.res,1
jepdra_g,1
slakteriidk. Änkefru,1
f.rikstelef.,1
offset.tryck,1
f.d. stampelmast.,1
remfabr.,1
bllrep,1
brev.form,1
f. kustvakt,1
garnbarare,1
sagaren kolhegs,1
svartbӓcksg,1
bag.lidk,1
massosen,1
bankj.man,1
operasangerska,1
fd.byggnadsassist,1
tjaneteman,1
industriidk:a,1
kaptenen och ridd.,1
jarnv.ing.,1
f kont.pauli,1
expeditionschef,1
insp_t_.,1
roch,1
sjukv.bitrade,1
overlar.ag,1
f.d. dragon,1
lumpsamlare,1
sjomanshusombudsman,1
forradsvak,1
busskonsuktor,1
kanalvakt,1
extra jarnmastaren,1
jarn.bitr.,1
lsoler.arb,1
sav.ag,1
eg. mjolnar,1
Åkeriagare,1
kr. daglonaren n 65,1
tngenjjor,1
f inkass,1
aniek,1
krisorska,1
lageraro,1
hofeistendast__,1
att.bitr.,1
alt .bitr,1
lo abris valwgst.7,1
brugg.arb.,1
_no_kverksbyggaren,1
a____,1
metallarbetare l,1
fabr somm,1
kastbilschauffor,1
forradsarrb,1
vedg arb,1
tidn.bus,1
ing ag,1
fd.sjokapt.,1
ragna anna axelina,1
arrend f serg,1
"son, karnm",1
dasfrimorska,1
snickerifabriksarbetaren,1
maskin skotare,1
preberv,1
"sarv,bitr",1
docenten;friherre,1
f silare,1
el.install.,1
chasuff,1
dek.,1
statsr.,1
ofverstelojtnant m.m.,1
f.d. fabr.arb,1
friso,1
dentist,1
direkӧr,1
martinsmӓltare,1
sjokgynnast,1
red.tjm,1
net arb,1
skfabr.arb,1
konty,1
manaãr,1
gotthard grovarb.,1
f. frialaormastare,1
hagvaktaren,1
"agare, montor",1
gjust,1
stebroget,1
avd.bitr,1
handlamda,1
malarinn.,1
jrspekt,1
f sag.arb,1
f agronom,1
blackslag.,1
mangelag,1
forbandsarb,1
skom.ges,1
cigarrbitr.,1
fstighetsmaklare,1
brandingenjor,1
exped:is,1
konsertpinst,1
lӓttmatros,1
forrasarb,1
radioforsalj.,1
statmast.,1
maleriar,1
f erandayn,1
tjman.,1
typogr.elev.,1
kanslbitr,1
sadelm.arb,1
formanson,1
fd. missionaren,1
fd.lok.forman,1
kolfӧrm,1
vapenhantverkare.ag.,1
ryttmastaren och ridd.,1
fru silley,1
eriasson,1
reparator 4.,1
handl. l. strandells ea,1
mallar.,1
fruktodl.forest,1
kipphyvlare,1
lathrak.,1
kapil,1
sammansattare,1
selma,1
restaur.idk,1
f.gruvfogde,1
faktlar,1
kr. lans.,1
bert.suibãg,1
husforedtandarinna,1
elektrisk montor,1
nattskiot,1
agend.makl.,1
kontlskriv.,1
div.arfb,1
kam o_df,1
biljettforsalj:a,1
srtadiãug,1
f jordagare,1
koksforestandare,1
f.ȧkare,1
konfektinsarb,1
mannen skraddaren,1
f.katen,1
valnv.arb,1
"adum, ljȧn",1
leuãg,1
e.kontorsskrivare,1
f. sjukskӧterska,1
d.gerda,1
sjobitr,1
forsta kl sjoman _. ek. 123,1
fargeriforman,1
laroverksadj.ag.,1
f.stationsins,1
specerihanlande,1
kalslaunstrand,1
kõrman,1
skrifistallare,1
befa___,1
Äg. verkstarb.,1
me jerska,1
charkuterihandelsidk.,1
f.d. banktj.man,1
bembitrade,1
hem. eg. a.p. janssons dotter,1
maskinpróvare,1
e. skrivbitrade,1
golviaggare,1
gassvets,1
mangelinrattn,1
elimstllltm,1
f.d. faltmusikanten,1
kivor teresia,1
utjordsagare,1
torkerska,1
baukaspirant,1
f.sjuksk,1
s_nk_kotersk,1
tottarp,1
eld.asp,1
chauffior,1
f.gymnastiklararinna,1
herr pastor,1
pmed,1
skolstrskan,1
chark-bitr.,1
galoscharb,1
snickare.ag.,1
hofslagare,1
fd.maskinmastare,1
serv bitr,1
f. smed,1
telefonforest.,1
schektmast,1
valsv.mask.,1
er.,1
hemmay,1
stadstradgardsmastaren,1
f.verkytgsarb,1
josan henn.ag,1
akerbrukareenkan,1
loitnant,1
faktoriarbet.,1
sprvgsm,1
pack:a,1
bernskot,1
kartrlt,1
iojtiaout,1
skat,1
lagerbiyr,1
ingenio,1
akvisitor,1
f.rikstelef,1
folksk.iӓr,1
skoterske elev,1
lagerformab,1
tullvaktmastar,1
l; e kyrkvaktm,1
molare,1
f.d. restauratris,1
kemik.handl,1
e.o.kontoristrade,1
e.o./hovrattsnot,1
martinverkearb.,1
mailare,1
stmast.,1
rerr,1
byggn. entr,1
undetfogde,1
knot.bitr,1
"son, stenarbetare",1
tjӓstem,1
kardils baht,1
f. skogsfaktor,1
f.d.folksk.lar,1
htnn,1
rormon tor,1
planopedagog,1
flaskhandlare,1
verks.tarb,1
smick mst,1
ved0g0.arb,1
domprostinna,1
sergeanten vid kungl svea art _agem_nt,1
aff.btr,1
hann.ag,1
f. musikfanj.,1
pharm.kand.,1
i_ks.,1
jordbr.insp.,1
tradskot,1
banv. f.,1
tradg ardsmastare,1
franskild elektrikerhustru,1
grovarbetare nr 1073,1
agot bitr,1
garnm.,1
huahallerakan,1
prov. lakaren,1
konsth.arb,1
"hustru, stenhuggeri",1
telefonbitrade,1
c_pitain,1
markpojke,1
gruvarb. 346,1
byggn:ritare,1
arlitalbt,1
"niȧare, bergkunt",1
arb.studieem,1
konsullent,1
hallforman,1
maskindkot,1
fd bokforlaggaren,1
"skomak,mӓst",1
radioagent,1
f. smãrholl:a,1
forbundsordf f,1
lagerbitr fd,1
luuiobitr,1
maskinstolare,1
ung/domssekr,1
f.tvattforestanderinna,1
reklamassistenten,1
hov_,1
hiljearb,1
_ounten,1
verktygssvarv.,1
handelsares,1
textil.arb,1
sommeraxa,1
f.d. magasinskarl,1
glasmastaregesallen,1
rut anna charlotta,1
karemellarb,1
tidn.forsalj,1
f.skolvaktm,1
volontar nr 32,1
vulk.arb.,1
lad.krl.,1
"hanndlanden, lantbrukare",1
tunnbindareges.,1
"damfrisorska, h.h",1
kassor:a,1
l.d.,1
w.,1
kond. bitr,1
f.d. sergeant,1
shomalen,1
tappn.form,1
tradg.cast,1
mask tr,1
t jansteman,1
mel.arb,1
pjrala,1
slabb.,1
forsakr.inspekt.,1
maskinupps,1
verkrtygsvarv,1
257026,1
varub,1
waktmay,1
stuveriformannen,1
krut.arb.,1
strward,1
l:e lokrep.,1
Äg. gardag.,1
sjokapt.anka,1
stadsbokhallaren,1
barnskotsrska,1
ttrӓde,1
lauhd,1
map,1
fd ekonomie bokhallare,1
yxhardare,1
bokhallare enkan,1
_.f.,1
fyslker,1
fil wag.,1
bureiman,1
restaurantbitrade,1
garfv arb,1
skograrb,1
l:e bryaing,1
skogsbitr,1
kallv. arb.,1
Ỗverlak,1
fd platslagare,1
sjukkot,1
glssnaare,1
"hand,res",1
segel somm.,1
toilettv,1
rorapt,1
skroth,1
snick. Äg,1
f.sekreterare,1
musikstuedrande,1
reservarg.,1
distr.tandl,1
vermast f d,1
husfӧrestandsrinna,1
platsl ag,1
handelstradg.m.,1
sjukhsbitrade,1
grosshandlanen,1
stat. skrifvaren,1
arbetare 829,1
forestėndarinna,1
pӓlssӧm,1
gruvarbetare nr 610,1
_ollam_.,1
stat.krl.aspir,1
hammarskriv.,1
lagerarb :a,1
stenbildhugg,1
v. hhoving.,1
f. d.sjuk/skot:a,1
symaskinskontrollor,1
foradsarb,1
post. forest.,1
f.nattskot.,1
stat.insp.anka,1
bag. bitr,1
bokhall. u.a.,1
f.banmastare,1
2:e install:nsinsp,1
lakareenkan,1
karongarb.,1
vahhm,1
skol.l.,1
fӧrradsarbetare,1
radiotorarb,1
ugnskot,1
skot. ex.barn,1
stationskarlsjoman,1
bark jan janssons ea,1
forsal jare,1
h kyrkoherden,1
manter.,1
"gasv,eld.",1
f. disponenten,1
volontar nr 21,1
f fabrikoren,1
Öltapp.,1
Överingenioren,1
poliklinikskot:a,1
tillrit.,1
stenhuggaren. skom.,1
bilforslj,1
reseh,1
kokerskeelev,1
besigtningsforman,1
sped: r,1
flytelegr:st,1
glasbias,1
waf.,1
hemlrich,1
kopparsl. arb,1
himdsfrom,1
mangleraka,1
hotellinneh fd,1
jarnv.tj.m,1
elektromont,1
uppmakerska,1
reseffektmak.,1
f.d. valsverskarb.,1
elsa natalia eugenia,1
j.e. thurfjells ea,1
floud,1
f. telegrafexpeditӧr,1
maskinisnick,1
ex. utmatningsmannen,1
bilrep.larlk,1
byggnm.arb,1
utskankn.forest.,1
hemanseg.,1
not.,1
h.h.sjukv.bitr,1
jygstjm,1
gfartysgsinsp,1
musikvolontar (122),1
klosklnneh.,1
vagns…,1
utsatt,1
portierelev,1
kopma,1
plaatslag.mast,1
maskinhandl:anka,1
toddelmak,1
adveln.chef,1
kindergartonlararinna,1
livf.inspektor.,1
agr;ridd.,1
maskinskriv.,1
_on.,1
renhall.,1
ragnar,1
verkst.arbb,1
magar_shtr___,1
patetserare,1
kssõeska,1
sk,1
_ouriren,1
tradg.aroet.,1
f.d. landtbrukare,1
__. lansman,1
paul paulssons enka,1
olef.arb,1
"sagarb., maskin.",1
eges af skomakarmastaren,1
f.sanglararinna,1
mask. 2 gr.,1
betts jsmsilessag,1
kappm,1
fil.k.,1
kass:a fru,1
f.d. garvare,1
bitr.forestȧndarinna,1
extra poliskonst. ,1
astyd arb.,1
abt.oast,1
gjarb,1
metallsliparen,1
august,1
h.h.handl.,1
bruksdisp,1
rorloagg,1
teckningslӓr:a,1
sedeltryckare,1
sadelmakeriarbetarehustrun,1
"lenggu, arb",1
kvarnbyggmast.,1
vӓghyvelfor,1
trafikexped;r,1
fõssadsraht,1
handl enk,1
wafverskan,1
lykstkotare,1
exped. bitr,1
i : e reparator,1
hand. res,1
hand for,1
handelbit,1
h.folksklaria,1
sandblastare,1
gjarb.,1
plấtslag,1
f.d. jarnsynare,1
wacktmast.,1
fristgaponlis,1
kondilor,1
handlande.af.,1
smaltv.arb.,1
hjãlgrarb,1
hur,1
leborsiasrade,1
brevbararaspirant,1
"vaktmast,",1
gadskarl,1
vandskomak.,1
frisor & sjukgymnast,1
f.d. apoteksarb.,1
vaktkonstapelsankan,1
jrv.kont.skriv,1
valsmӓst,1
krosserifabr,1
rest.forest:a,1
v. haradshfdn,1
besiktn.bitr,1
mannsell,1
vajarb,1
f.d.sockerf.arbet,1
einer m.arb,1
hertig,1
f huvudbokfor,1
_rosk__k___k.,1
e.lokaltelefonist,1
linjemӓst,1
f. st. mast.,1
grosshand.,1
bensinforsalj.,1
Ålmans,1
m__tber,1
f sagv.ӓg,1
ombudsm.,1
poliskonstapil,1
vӓrmeledningsskӧtare,1
asfaltagg,1
skor.bitr,1
e.magasinsarb.,1
forsakrjngetjansteman,1
syremastaren,1
gavle,1
maski__ast__,1
uaug,1
ba eriafbetare,1
lamtlred,1
hudsãgare,1
bgggn.smik,1
Öfvermaskinist,1
mal.& namndeman,1
linnefor.,1
h. skoterorska,1
partiomb.m,1
f.s.bauo,1
kamerer,1
res.rumsinneh,1
sventsaren,1
f masugnsarb,1
"da,fris",1
punktsvets,1
butiksinspekt,1
pianosnickare,1
fd skraddare gesall,1
servitris fru,1
f.d.byggnadssnick,1
vagnmak.gef,1
h____,1
stiftsjagmast,1
bodbistandet,1
f.d.kont.,1
el.lararinna,1
f.d. baningenioren,1
sagverksegaren,1
hiklren,1
koksforestand.,1
fanest,1
polerarb,1
fisk. and. olssons enka,1
adv.chef,1
trafikoilag,1
stadsskogv,1
ladfabrikor,1
eg. byggmast,1
platelag,1
mal.handlare,1
monfã,1
kommisare,1
trãdg.eleu,1
alo shtygrf,1
jalv.arb.,1
tggograf,1
ing.ag,1
tectilarb,1
skoforsalj.,1
kond.inneh.,1
fastigh.ch,1
oljarb,1
tyglab.,1
f fahnjunkaren,1
ingerbitrade,1
musiklӓr:a,1
hjmar,1
instr.,1
pwaltersky arb,1
smaskol.lar.,1
brickfl,1
1:e operationsskot:a,1
kaffekokare,1
sjukogymn,1
hand . res,1
prost ankan,1
matningsbitrade,1
jvgstjman,1
skorst. byggform,1
poettjm,1
hattmakeriarbetare,1
hoarb axel,1
f rӧrarb,1
bilforsalj f,1
f. stationskarlsformannen,1
flaggkorpral,1
maieriarbetare,1
mal. form,1
jonefmaeliu jadagh,1
andra halften eges af mamsell,1
folkskoll. h;u,1
tradg__tm,1
kummunalkamr,1
tandstickarbeterska,1
namdman,1
haradsskrfvare,1
soamerska,1
maskinassistenten,1
gakefre,1
papperspressare,1
stadsdistr.lak.,1
laderhandlanden,1
gustava,1
portvaktanka,1
shahl.arb,1
jӓg,1
ladugddr.,1
polisoverk,1
bokhandelsmedhjalparen,1
befallningmannen,1
kohemk,1
Ӓmnessyn,1
dodsboet efter,1
blokbinderska,1
buntm,1
"mejerskan, fru",1
timbelef.,1
biblioteksfor,1
byggn. ing,1
broirdraknorska,1
markagare,1
t.f.linjearb,1
fd. grovarb,1
hilding,1
bussfӧrare,1
mask.tryck.,1
pianoarb. 578.,1
en,1
sffarbitrado,1
folkhogskoleforestandare,1
handlanden och handskfabrikor,1
maskiusuiek,1
forsakringsman,1
kommun larb,1
f postvaktm,1
"syster, sommerska",1
bageriaebetare,1
ext. fyrbitr.,1
silare,1
papp.skarare,1
statfor__.,1
pensiontsinneh,1
hushấll,1
med. fil. kand.,1
husinspektor,1
fil are,1
leb.vilaoit,1
grovarbetare nr 1064,1
prambygg,1
konf onsarb,1
tjabstem,1
radioexpeditor,1
skogsmӓst,1
skogsingenioren,1
m__etaren,1
kapten terere &sekre,1
f.d. smaskollararinnan,1
line leumarb,1
grossek,1
mej.arb:a,1
brasiliansk vice konsul,1
byggen.arbet.,1
mej.eiev,1
fotogenhandl.,1
sagstallaren,1
tandlak.bitr.,1
starb.,1
mal fd,1
vagform,1
bokbinderinarbetare,1
pastorsadjj,1
travaruchandl,1
birraulisre,1
mjolk. utkor.,1
"musiklararen, organisten, musikdirektoren",1
lak.leg,1
stationskaerl,1
garogruara,1
vagnavs,1
hg.halds,1
affarsm,1
i : e assessor,1
tagfarjeeldaren,1
f.d.cigarrarb.,1
stef.arb,1
verlmast,1
revolversvarvaren,1
forsӓl j,1
tulluppb.man,1
fiskandl,1
gjut.larl.,1
flotin.chef,1
veterinarrad,1
f. uppass.,1
poliklinikkass,1
vatten __n vakten,1
kontorsskrif.,1
rikstelef:t,1
arbetare 260,1
bokhalaren,1
kanslibitr f,1
lagerarb  fd,1
loulb,1
tygforvaltare,1
qvarnagaren,1
byggnrep,1
jordehsarb,1
konditoriinnehavarinna,1
ateljech,1
organ_t.,1
smidesfabrikant,1
mmtõr,1
sâgv.arb,1
kam.der,1
f.d. mastaren,1
froken',1
e. birade,1
fd.disponent,1
assurnstjm,1
frukthandelsforest.,1
s_,1
f smabruksag,1
f.stad.,1
servitriss,1
skolhush-innehav.,1
arbetskarlen vid _ratselnamndens 1a afdelning,1
lansveter.,1
balbyggare,1
stadstjanaren,1
f.aff.inneh.,1
thuvesen,1
kronolots karl vern. soderbergs ea,1
hustaf,1
tunnbinderiarbet.,1
palshanlande,1
gasmatarkontrolloren,1
arb f,1
dlakon,1
sekr.omb,1
aigr.arb.,1
mjolnasdrang,1
srad,1
laararinnan,1
skradderimast.,1
brandfrom,1
fastighetseldaren,1
materlamast,1
forradssarb,1
f folslksk.lar,1
aboen,1
lokattelefm,1
kopparef,1
reseinsp:ӧr,1
knostnaren,1
mekn.arb.,1
nsmik,1
kontors skrivare,1
glaskorare,1
brukssnickare,1
vaktm.f.bank,1
"smaskollararinna, fru",1
fangkonstapel,1
f afvittr san___,1
f. pastor,1
folsk.lar,1
f.d. slaktarb,1
gruvarb. 923,1
telef : stelev,1
fd. tulldirektorsassistenten,1
hande-isbitradet,1
frokontr.bitr,1
f.benvakt,1
nahtfru,1
e.o.riksbankstjn,1
"labor, bitr",1
viclaurõr,1
afdv,1
kap. lojtnant grefwe,1
portierbitr,1
f.barnm:a,1
beslktn.man,1
snick.fӧrm,1
jarnhandl.forest.,1
frohandlare,1
ugnshat.,1
gatlagg.arb.,1
forsta kl. sjoman _e 172,1
opr,1
blanksmorjefabrikoren,1
h:dtr,1
byggn smith,1
konhennt,1
Ӧvering,1
korpral nr 20,1
formansmannen,1
uppsg___g_mannen,1
fiskhandlure,1
spik fabr.arb,1
f lantbrevb,1
varkant,1
dekorationsorgani/sator,1
christina,1
skepp fd,1
distriktslakare,1
reklantecknare,1
f eanktjm,1
metallarbet.arbetare,1
over-konstapel,1
akeriagaren,1
faj.arb.,1
sedeltryck fd,1
reservtryckaren,1
hagrar,1
johanna h. bernmorske,1
diversaarbetare,1
f frik,1
metallograf,1
bladfilare,1
f toeghandl,1
tullupp.m,1
brunnshborr,1
nattbitr,1
harfis .elev,1
arbesstudieing,1
landsfiskal h:u,1
barntradgardsledarinnan,1
tryokariarbetare,1
bagerilarling,1
f.st.karl,1
lolrihõr,1
bibliotekarien,1
infraktare,1
biolioteksbitrade,1
brrvbarare,1
prȧmskepp,1
medkand,1
vol.nr 35,1
meteorologass,1
f lotsform.a,1
uppmarkare,1
dragspels. snick,1
resebanmast,1
bradlast.,1
kontonist,1
f stkarlform,1
kontrollbitr,1
g.d. haffana,1
tvattbiotr,1
fomm,1
kom.arb.,1
ste kontorsskrivaren,1
ola anders enka,1
skorstens…,1
vedhuggare,1
f.d.rikstelef.,1
traflkbilafg,1
lad__.,1
smid.form.,1
lokalred,1
grundl.fom,1
bind:a,1
f_i_.,1
valsv.arbb,1
fil. doktor.,1
godn.f.arb,1
wexlar.,1
roreledh.entr,1
tradlacker,1
assuranstjanstem.,1
stat.karl-sform.,1
blogr.vaktm,1
papp. sort.,1
grufarbetaren,1
matsalarsbitr,1
vag. arb,1
f.d. stallkarl,1
dodgrafvaren,1
byffmint,1
postiljjon,1
f.folkskoll:e,1
f.d.sjukgymn.,1
forsakr.,1
exp.arbet.,1
fd.volontar,1
skof.arb.h.h.,1
inenjӧr,1
harfris fd,1
el.installk:r,1
vagarb.form fd,1
magerbitr,1
haudl.nes peues,1
konfektionar,1
urm.arb,1
labor.ass,1
1:a koksa,1
furir nr 36,1
odont.kandidat,1
presserska fd,1
droskohauff,1
roddaren,1
"assessor hygrell,inskr. domare",1
f.poliskonstap.,1
fd.brandlojtnant,1
mjolkbutiksbitr.,1
komnuna l ar betare,1
maskininarb,1
stationskondsforman,1
tvattlnrattn.inneh,1
brukslak.,1
forsakringstjm.,1
skorb.arb,1
hotelldirektor,1
art.konstapeln 2 gr.,1
hem oh,1
heuuleisr,1
f vakstkstpl,1
glganrberte,1
b...,1
kantelipare,1
disp. och ridd.,1
statdraug,1
h.dtr,1
sjãman,1
traf.e:ev,1
vardebrevbarare,1
"f.lokputs, ag",1
expedlt,1
stampelmak.,1
f.d. vagn & stallkarl,1
verkst.iarl,1
1:e motorman,1
f.jarnv. kond.,1
f.d.smid.mast.,1
landtm.,1
fors. chef,1
yassӧrska,1
elektrisk montorn,1
skorstensjejare,1
lageraroetare,1
nman,1
f sjm,1
f. tullinspekt.,1
fd kronolansman,1
hugo hydén,1
"sagv,arb,",1
kont.fr,1
masterlot_,1
leg lar,1
f. kyrkoualetnnãof,1
hamnkapt,1
vattenutkor.,1
husforestandari.,1
fred,1
huspre,1
"dotter, textilarbeterska",1
f.skorstensfejare,1
legerbitr.,1
f palare,1
avdelningsforestanderska,1
mӧb.pol,1
hark.arb.,1
mont.larl,1
damfrlsorskan,1
"artist, ag",1
frisormast h.h,1
stalldrg,1
malt.,1
husbitrade,1
starkan?,1
lagerexp,1
skyltabr.,1
hildur,1
ind.tjm,1
telefonarbeterska,1
fordelst. ad. fr. troneli_ son,1
sag_.,1
fd snell,1
"fil,stud.",1
maskinsnick.arb,1
forra kommissionslandtm.,1
byggn.grovarbet.,1
amiral,1
karanskot,1
rjan,1
overstelojtnent,1
bagare.,1
matnlngsm,1
hos denna,1
tomtkarlen,1
diplomingenfor,1
tygforvalt.,1
motorbat o.fyrskotare,1
forman stations,1
spanmalsh.,1
ekonomidirektor,1
andre sekreteraren,1
f.d.kvarnast,1
parkmastare,1
bruk__.,1
"vavmast., ag",1
tidningsbudet,1
riksdm.,1
stãd,1
typograf larl.,1
brukstj.m,1
benh.,1
tvattidkare,1
arbet.dotter,1
arbet.form,1
f Ǎmneslar,1
sniss,1
husforesb,1
resemomtor,1
anke grevinnan,1
mobelsnick.11.,1
agaren,1
paul arb,1
ex.vaktmastare,1
"son, glasslipare",1
kushu,1
landtrantmastaren,1
kubbstapl.,1
forste kontorsskrivare,1
"mob,poler",1
hand.bith.h.h.,1
notisbud f.24.,1
fagkarl?,1
toffelmakeriidk.,1
l8genhetsag,1
f vatttenv.arb,1
sigge,1
lager safȧle,1
restauranghush,1
e.o.lokaltelefonisten,1
mȧl. mast,1
mekanisk_larlingen,1
gasv.arb f,1
mekanikeranka,1
verktygsutlamnare,1
whom. arb,1
lill-astrid,1
per sjos son,1
mal'.arb.,1
raffl,1
kompr.skot,1
telefon.rep.,1
l:e lasarettsunder-sven,1
j. wennerstens enka,1
kafėbitrade,1
elektr.ing,1
distr.sjukskot,1
kammardrangen,1
f smedmast,1
fattiggard_f.,1
290105,1
slojddlar,1
tullbitrade,1
f.kammarskrivare,1
trop,1
com.,1
warkismontor,1
f bernhemforest,1
f.husforest.,1
kamf.arb,1
kinderg.forestandarinna,1
fil. dokt.,1
lienbitr,1
f sped.form,1
springfl.ek,1
e.bitrade,1
ivars,1
musikanten,1
s__a_l_,1
rivare,1
gjutriarb,1
h.dtr.gunhild,1
vedg.arbetare,1
mollare,1
msrekktr,1
f.d.brevbarare,1
hàrfris,1
f.timmerman,1
molndal,1
lok.tel,1
trãrg. mst,1
me jeriarbetare,1
myndl,1
monika,1
tulltillsyn.,1
f.d. skoll,1
monsterrit.,1
f.d.bankbokhall.,1
kr l_,1
extra lararen,1
lumphl.,1
bigguatnmmen,1
stationsforestanka,1
sko.arb,1
fastigh.iӧrv,1
f tygfӧrv,1
harvare,1
kont.btr,1
eg. fanjunk,1
skeppsklarer,1
kamner,1
isoleringsmontoren,1
monteringbitrale,1
f.d. lokfor,1
arr landtt_,1
postf:e,1
enkgefru,1
f.kakelarb.,1
jӓrnv.tjm,1
smides__edl,1
slagatre,1
"hustur, folkskollararinna",1
textiliarb,1
pianohandlaren,1
repslag.,1
tradg.mastare,1
husm. arb,1
gruvarbetare nr 631,1
roraab,1
f poliskstpm,1
maskinarb. n 316,1
fargfabr.abb.,1
gardhusenk.,1
flagg_officer,1
ag.stenarb,1
stigaren,1
tnoolfor,1
handelsfiorestandare,1
f.korresponient,1
reseffekt.arb,1
hagvakt,1
seglaremastarenkan,1
praky,1
dressinmont,1
notisbudet,1
verk mastare,1
traversfor.fd,1
mossarb,1
varvstimmerm,1
_ohh.,1
"helm, lenetaust",1
cem. brann,1
f. overlarare,1
jodosadst enka,1
jacq.arb.,1
handarbetsbitrade,1
Ӧverpostilj,1
fil.msg.,1
plàtsl.arb,1
1:e reparator,1
"agare, civilingenjor",1
pharm. studeranden,1
f.d. ingenjor,1
stationsinspektorsanka,1
fargar.,1
sjukvard knut,1
stat.larlsasp.,1
bokk.,1
husmor fd,1
v. korpral n:o 6,1
sjomaskinisten,1
Änkare enkan,1
platsleg,1
und. lojtnant,1
asfaltsarbetare,1
jiakr.bitr,1
drãng,1
faber,1
bokbind.mӓst,1
f.tullvakt.,1
slagmaskinskot,1
halvars,1
grundlȧgg,1
sulitarb,1
lager.arb,1
telef:rep,1
"tvatt, bitr",1
h.h.kaféidk:a,1
motortvatt,1
takmastaren,1
f.d. fabriksarbeterska,1
ritsaren,1
kontoairt,1
elektr.arbetare,1
tapetserararbetaren,1
fors.tjm,1
f kvarnag,1
varmeledn.skot.,1
anders svenssons enka,1
bandl,1
husforst,1
pender,1
harnvakt,1
fliskokare,1
msklnstallare,1
svets.el.,1
stallarbetare,1
f.rattar.,1
sagv.arb.fd,1
etsningsbitr,1
fors.tj.man,1
"dotter, kartongarbetare",1
Övermaskinist fd,1
f. riksdgm.,1
resombud,1
handalre,1
kommunalarb:e,1
hndl enk,1
bruksp,1
f.d.lektorn,1
polisoverkonstapel,1
springfliska,1
ladugsskot,1
hanskm.,1
plàtalag,1
ammlh,1
bitr.ing.,1
f. postilj.,1
j. maskinisten,1
kommunalarietare,1
kasa,1
etuiard,1
charklist,1
lerg,1
skylaerg,1
socialbitr,1
barberar,1
m.amieh,1
jarnh b.,1
f.d. diversehandlaren,1
slõjdare,1
skeppsredaren och handlanden,1
Õverfurlr,1
mȧlarinna,1
f. art.,1
segennten,1
jorbruksarbetare,1
"daglonaren n 82, f.d. underoffr.korp.",1
handskf.arb,1
veterinarkandidat,1
kontorrist,1
bdd_.,1
presskarlforeman,1
f fosttja,1
kavarnarb,1
fd.forvalt.,1
chaufforbitr,1
mattl,1
stampelmak,1
maskinimast,1
pinsgatan,1
met.gjutare,1
enkefru;majorskan,1
mejr.,1
vagbyggn.form,1
f.lãr,1
sem. stud.,1
flott__gs faimar,1
verkst./idk,1
_radl,1
sagv.ag.,1
dbr.arb,1
fd. Åkaren,1
eg. sven johanssons son jlars johan,1
skoff.forest,1
eric jonas gustav,1
draug,1
lansarbetsn.ass,1
mask.snick.,1
grovarb./uppass.,1
fӧra,1
kolg.form,1
f Ӧverkonstpl,1
"dotter, butiksbitrade",1
hotellstad.,1
sangerska,1
fralsn,1
maria viktoria,1
shãssbitr,1
aukt.virkesmatare,1
palsdjursuppfod,1
sjukl,1
Öfverste lojt,1
verkasast,1
kur.doktor,1
gardistankan,1
Åkeriagaren,1
f smȧsk. lӓr,1
sandgrafvaren,1
pilaren,1
exped:s,1
sadelamk.mast,1
hemeg. och malare,1
segelmakaren,1
