occ,n
el.mont,49
avsynare,49
lag.ag.,49
tandlak,49
polism,49
advokat,49
hushall,49
kartongarb,49
cementarbetare,49
papp.arb,49
kassorskan,49
larling,48
fiskhandl,48
fӧrm,48
mal.arb.,48
ladug.karl,48
tradgm.,48
pigan,48
bageriarb.,48
forestandare,48
inspekt.,48
Äg,48
el mont,48
mej.arb,47
sulf.arb.,47
bankkamrer,47
tjanarin.,47
journalist,47
hans hustru,47
exp.bitr,47
gardsag,47
hushallerskan,47
skradd.mast,47
husa,47
hemdtr,47
telegrafist,47
hush.,47
skof.arb.,46
skomak.mast,46
postexpeditor,46
lar,46
traarbetare,46
tjanarinnan,46
skrivbitr.,46
grovarbet,46
text.arb,45
bag.,45
konstnar,45
f handl,45
fabr.arbeterska,45
jbrarb,45
kantor,45
gummif.arb.,45
serg,45
skofabriksarbetare,45
statkarl,45
kondukt,45
frisormast,45
poliskstpl,44
glasbl.,44
platslagaren,44
hush:a,44
tandtekn,44
banarb.,44
stad:a,44
disponenten,44
gruvarb.,44
springgosse,44
tekn.bitr,44
bonden,44
civilingenjor,43
gum.arb.,43
tillskarare,43
steward,43
rikstelefonist,43
kontorsskrivare,43
chauff.,43
hemmansagaren,43
forvaltare,43
byggn.ing,43
sjukskot.elev,43
gummiarb,42
mur.arb,42
urmak.,42
civilingenior,42
kassoren,42
platslag.arb,42
kont.elev,42
urmak,42
handl.bitr,42
stickerska,42
stenograf,42
banvakten,42
hemdtr.,42
jernarbetaren,42
ladugardskarl,42
formannen,42
kommunalarbetare,41
bankkassor,41
kokerskan,41
2 kl. sjom.,41
tradg.mast.,41
husforestandarinna,41
fabrikoren,41
garfvare,41
arbetaranka,41
bradgardsarbetare,41
stud.,41
Änkan,40
lagerforest,40
mur.,40
fanj,40
pappersarbetare,40
kont.bud,40
kronolansman,40
smorjare,40
tj,40
posttjansteman,40
tapetseraren,40
handelsresanden,40
hembitrӓde,40
postbitr,40
bilmek,40
kapt,40
spinnerska,40
kontorsbitr,40
vol.,40
brandm,40
tradgardsm.,40
brandman,40
droskagare,40
hush.bitr.,39
assistant,39
f somm,39
byggm.,39
lojtn,39
sjukskӧt,39
bitradet,39
undt.,39
sk.arb.,39
enka,39
droskag,39
doktor,39
lektor,39
rektor,39
bokbinderiarbetare,39
avdelningschef,38
portv,38
hand.res.,38
h.ag.,38
jvgstjm,38
larl,38
verktygsarb,38
styrm,38
skofabr.arb,38
dr.,38
tradgardsmastaren,38
handelsbitr,38
statdr.,37
tulltjm,37
gasv.arb,37
sparvagnskonduktor,37
tullvaktmastare,37
kvarnarb.,37
predikant,37
barbitr,37
fdt.,37
matros,37
f kass,37
lag.bitr,37
civ.ing,37
sjokaptenen,37
skogvakt.,37
statardrang,36
laroverksadjunkt,36
stat. karl,36
bokbinderiarbeterska,36
lar.,36
arbetar.,36
lindare,36
f lokfor,36
smidesarb.,36
aff. bitr,36
snickeriarbetaren,36
damfrisorska,36
sagarbetare,35
natlerska,35
professor,35
