id,name
571,inn keepers (tabernari)
572,inn keepers (tavimari)
573,innkeepers (li tavirnari)
574,intagliatori
575,jacket makers (gipponari)
576,jacket-makers (gipponari)
577,key makers (chiavittari)
578,key makers (chiavitteri)
579,knife makers (cutilleri)
580,"lana, arte della"
581,lanaioli
582,lanaiuoli
583,lanari
584,lanaroli
585,laneri
586,lanieri
587,lardaroli
588,lardaroli e speziali
589,"lardaroli, bottegai e formaggiari"
590,lasagneri
591,lattai
592,lattari e ricottari
593,lattoneri
594,lattonieri
595,lavoranti calzettai
596,lavoranti calzolai
597,lavoranti cappellai
598,lavoranti della lana
599,lavoranti e garzoni dei vermicellari
600,lavoranti orefici
601,lavoranti tipografi
602,lavoratori di fustagno
603,lavorazione del legno
604,leather workers (conciatori di pelle o curviseli)
605,leather workers (conzarioti)
606,leather workers (cuoiai)
607,legali
608,legnaiuoli
609,legnaroli
610,letterati
611,letterati e curiali
612,librai
613,librai e stampatori
614,librari e stampatori
615,librei a conti e carta bianca
616,ligaballe
617,ligadori da fontico
618,ligatori di balle e lavatori di lane
619,ligrittieri e pannilini
620,lime workers (calcinari)
621,linaioli
622,linaiuoli
623,linaroli
624,linen weaver (linaioli)
625,linen weavers (linalori)
626,luganegheri
627,maccaroli
628,maccaronari
629,macellai
630,macellari
631,macellariis
632,maestre di scuole pie
633,maestri banderari dell'arte della seta
634,maestri d'acqua
635,maestri d'ascia
636,maestri d'ascia di carrozze
637,maestri d'ascia e calafati
638,maestri da muro
639,maestri da muro e da legno
640,maestri del legname
641,maestri di cuoiami
642,maestri di pietra e legname
643,magazzinieri
644,magazzinieri del grano
645,magazzinieri e tavernieri
646,maggior arte del fuoco
647,maiolicari
648,mandoleri
649,manganatori
650,manganeri
651,manifatturieri da tabacco in rolli
652,maniscalchi
653,marangoni
654,marangoni da case
655,marangoni da nave
656,"marangoni, muratori, e tagliapietra"
657,marble cutter (marmorari)
658,marble cutters and sculptors (marmorari e scultori)
659,marescalchi
660,marinai
661,marinai e pescivendoli del borgo di santa lucia a mare
662,marinari
663,marinari del generale delle galere
664,marinari del piliero
665,marinari della porta della calce
666,marinari di cannucciari
667,marinari di porto
668,marinari di porto salvo
669,marinari di s. lucia
670,marinari di s. maria delle grazie
671,marinari e negozianti
672,marinari e padroni di barche
673,marinari e pescatori
674,marmorai
675,marmorari
676,marmoratori e fabbricatori
677,marzeri
678,maschereri
679,masons (fabbricatori)
680,masons (li muraturi)
681,masons (muratori)
682,masons (muraturi)
683,masons and stone cutters (mastri muratori e pirriatori)
684,massari
685,mastellari
686,mastri cordari
687,mastri d’ascia
688,mastri luganesi
689,"mastrodatti, scrivani, e curiali"
690,materassai
691,materazzari
692,mattress makers (materassari)
693,mattress makers (materazzari)
694,medici e speziali
695,mercanti
696,mercanti (confraternita)
697,mercanti auroserici
698,mercanti catalani
699,mercanti d'oro e argento falsi
700,mercanti da cordoani
701,mercanti da ferrarezza
702,mercanti da legname
703,mercanti da oro
704,mercanti da panni lana
705,mercanti da seta
706,mercanti da vin
707,mercanti de spallere e tirintane
708,mercanti di bestiame
709,mercanti di bestiame bovino e porcino
710,mercanti di calze
711,mercanti di diversi generi specie coloniali e aromati
712,mercanti di ferro
713,"mercanti di grassa, casaroli"
714,mercanti di lana
715,mercanti di lione e fiandra
716,mercanti di opera bianca
717,mercanti di tela
718,mercanti di vino
719,mercanti drappieri
720,mercanti fiorentini
721,mercanti francesi
722,"mercanti speziali, droghieri, manuali e cioccolatieri"
723,"mercanti, venditori e tintori di panni lana"
724,mercatanti
725,mercatores artis lanae
726,mercatorum
727,merchants (li mercanti)
728,merchants (li mircanti)
729,merciai
730,merciai e correggia
731,merciai e drappieri
732,merciaioli e trippaioli
733,merciariis
734,merzari
735,messi
736,mesuradori di formento e biave
737,miniadori
738,ministri e ufficiali del banco annunziata
739,minolli
740,misuratori della raiba
741,molendinarium
742,molinari
743,molinaroli
744,mondezzai
745,monte
746,mugnai
747,mulattieri
748,muratori
749,muratori e carcarari
750,muratori e carpentieri
751,muratori e falegnami
752,muratori e fornasari
753,muratori genovesi
754,muratori lombardi
755,"muratori, scalpellini, tagliapietra e marmorari"
756,muratoriibus
757,mureri
758,muschieri da polvere di cipro
759,musici
760,nail makers (tacciari o chiodaioli)
761,navaroli
762,negiari
763,negozianti dei drappi di lana
764,negozianti di stoffe di seta
765,negozianti e merciai
766,nevaioli
767,nevajoli
768,nobili e artigiani
769,nolezini e vetturali
770,norcini e casciani
771,notariorum
772,ofellari
773,offellari e festari
774,officio dei mercanti da seta
775,ogliarari
776,ogliari
777,orafi
778,orafi e argentieri
779,orefici
780,orefici (conservatorio)
781,orefici argentatori
782,orefici e argentieri
783,orefici e argentieri lavoranti
784,orefici ed argentieri
785,orefici gioiellieri
786,orgiaiuoli e venditori di legumi
787,orologeri
788,orologiai
789,ortolani
790,ortolani e padulani
791,orzaiuoli e venditori di orzo e legumi
792,osti
793,osti di borgo
794,osti e albergatori
795,osti e tavernari
796,osti e tavernieri
797,osti garzoni
798,ottonari (arte sottile)
799,ottonari dei chiodi di carrozze
800,"ottonari, peltrari e lattonari"
801,padroni di barche e marinari (monte)
802,painters (depittores)
803,pan makers (calderari)
804,panerari
805,panettieri
806,panettieri (confraternita)
807,panettieri alemanni
808,panettieri di pane bianco
809,panettieri di pane di mistura
810,pannieri
811,paper makers (cartari)
812,paratori di panni
813,paroni
814,parroci e sacerdoti (confraternita)
815,parrucchieri
816,passamaneri
817,passamantai
818,pastai
819,pasticceri
820,pastori
821,pastry-cook/sweet makers (confettieri)
822,pastry-cooks (cubaitari)
823,paternostreri o margariteri
824,pattieri
825,peciari stoppieri
826,pecorari affidati
827,pedlars (li merceri a bando)
828,pegolotti
829,pellacani
830,pellattieri
831,pellettieri
832,pellettieri e scamosciatori
833,pellicciai
834,pellicciari
835,pellizzari
836,peltrari
837,peltrari e lanternari
838,peltreri e stagneri
839,perleri e suppialume
840,pescadori
841,pescatori
842,pescatori (monte)
843,pescatori del borgo di loreto
844,pescatori di fiumi e di mare
845,pescatori e venditori di pesce
846,pescivendoli
847,pescivendoli (borgo di s. lucia)
848,pescivendoli di chiaia in napoli
849,pescivendoli e capiparanze
850,pestrineri
851,petteneri da tela
852,pettinatori di lana
853,pezzaioli
854,pezzaroli
855,pharmacists (aromatari)
856,pharmacists (li speziali)
857,"pharmacists (speciali, speziali)"
858,pianetari
859,piccapietre e marmorari
860,pietra e legname
861,pignolati
862,piltrari (stagnari)
863,pinatari
864,"pipernieri, fabbricatori e tagliamonti"
865,pistori
866,pittori
867,pittori e indoratori
