occstrng,n
gjutarelärling f. d.,1
elev va onnestads folkhagskola,1
kryllhårsberedare,1
inhyseshja kyrkovaktare,1
jordega kyrkowakta,1
egendomsägare och brukare,1
inspektor vid lantbruk f.d.,1
"arrendator, ladufogde f.d.",1
jägmästare e.o. hemmansägare,1
pälsfabrikör,1
jordega och snickare,1
mottagarchef,1
hemmansegaa fada stadsingeniar,1
Överläkare v. solna sjukhem,1
rörläggarbetare f.d.,1
läroverksråd,1
klockare musikdirektar,1
jordegaa afskedasolda,1
hemmansega batfarare,1
kyrkovaktmästare skräddarmästare,1
smed lagenhetsinnehavare,1
komminister 2:e,1
kontorsvaktmästare vid sockerbruket,1
kamrer i astaga hypafara,1
jernarbet,1
husega oa traskomaka,1
metallarb,1
stadskantor Änkling,1
snickerifabriksbokhållare kassör,1
godsägare nämndeman,1
martin arbetare,1
skjutare skatteman,1
grufarba nao 207,1
hegarea fadasoldat,1
teknisk byråinnehavare,1
gjutare 974,1
brukverkmästare ingenjör,1
lokomavputsare,1
torpare vagnmakare grovarbetare,1
torpare fadaa jordbruksarbetare,1
undantagsman vika orgelna och klockare,1
rattare a fattiggarden,1
konsulatsekreterare korrespondent,1
expedit vid slagteribolaget,1
sjukvårdsförman,1
färgeriförman f.d.,1
bleckhandlare husagare,1
travaruhandla hemmansagare,1
jordegare fadasmaskolarare,1
utarbetare 1402,1
vola korporal,1
nattavakt,1
hushalla,1
kammarskrivare eaoa i kammarkolegiet,1
bonde i kila i wermla,1
possessionat fada handlande,1
hemmansbrukare kronolänsman f.d.,1
utf. arbetare,1
maskinarbetare 933,1
skomakare o fjerdingsman,1
skraddare jordbraarba,1
hemmansägare statdräng f.d.,1
jordegare lagenhetsegare,1
korgmakeriarbetare inneboende,1
arrendator fa kronolansman,1
gruvuppsyningsman fa,1
fabraarba magasinarba,1
jordbruksarbetarea fa sappar,1
garvare gesäll,1
jorstorpare o fiskare,1
stanskarlsfarman,1
tegelbruksarbetare dragon fa da,1
jorbrukare,1
snickare klockare,1
ringålderman f.d.,1
grosshandlare direktör i centralslakteriet,1
mallare arbetare,1
platslagare 375,1
soldat n:o 334,1
smaskolelarare kyrkovakt,1
faltjagare nao 35,1
agare vavare,1
filare vid finnshytte verkstad,1
teologielektor,1
klensmed 76,1
hyttarbaa,1
torpa o byggmasta,1
akareriarbetare,1
volontar vid vestgata dalsregema,1
hofrattskomenist,1
landsräntmästare vid länstyrelsen,1
bodkarl husägare,1
slajdare jordbruksarbetare,1
landthandlare spannhandlande,1
tapetserarea arba,1
landsbruksrattare,1
sjukhusvaktmästare vid hospital,1
skomakare och hemmansagare,1
tomtarbetare f.,1
kamrer i sthlms. inst. garant. a. bolag,1
arrendator af böö,1
stenarbrytare,1
ståltrådsarbetare understödstagare,1
bergsmaa snickare,1
torpedmästare underofficerkapten hantverkare,1
kapten a armen och flottaa,1
direktör vid sågverksbolag,1
fiskarea arbetare,1
jordarrendator husägare,1
husagarea jordarba,1
husman husägare,1
torffölvaltare,1
mösskräddare vice korpral f.d.,1
rallare f.,1
lokomotivputsare tillf.,1
skeppsvarvssmed,1
schaktmastare hemmansagare,1
fadoradstorpare,1
trämassefabriksdisponent och ingenjör,1
kra fjerdingsma ha ega,1
snickeriarbetare i sthlm,1
haeg o handlande,1
stenhuggare jordbruksarbetare,1
inha jaga,1
tillsyningsman hos renhallnabola,1
malmvaskare,1
civila ingeniar,1
kassör vid verktygsfabrik,1
ahandelsbitrade pa wartofta,1
järnvägsentreprenör,1
tilfälig arbetare,1
ajagarea ma ma,1
Ägare ugnsförman vid kexfabrik,1
snickare rotebåtsman f.d.,1
lärare vid yrkesskola,1
fyringenjör f.,1
försilvringsarbetare,1
jordtorpare och mältare,1
f vedhuggare,1
exa postbara,1
bromsare vid jernvagen,1
tradgardsarbet dadgrafvare,1
kuskentreprenar,1
jur. utr. kandidat hovrättsnotarie e.o.,1
färgföreståndare,1
fattighjona skorstensfejare,1
haegae urmakare,1
vävskedsmakare torpare,1
tradadragare,1
hemmansega o skraddre,1
arbaka gardsaga arba vid bultfabrik,1
smedgesell inhyses,1
hemmansegare samt smed,1
statkarl a,1
spelstyrare vid gruva,1
Ägare av en kronohage,1
lokomotivfarare eldare fa,1
kronolansmana arrenda,1
jernvagare vid karmansbo bruk,1
flottledsarbetare,1
ega bokhalla,1
vagnmakare backstuguhjon,1
fila doktor larare,1
ea vagnssmarja,1
postiljon biträde,1
stereotypgata,1
arbetare maskintryckare,1
brukar tillsamman fädernegården,1
fabrikar vid spinneri,1
godsegare kammarskrifvare,1
backsthjona murare,1
jordraarbeta,1
hemmansägare löjtnant i armén,1
listssagare,1
jordruksarbetare,1
egna hus spannmalshandlande,1
korpral vid bleka bata,1
kassar kontorist,1
skraddare laring,1
murare byggmästare,1
arbetare vid tekn. fabr.,1
smed oa abo,1
hemmansägare länsman t. f.,1
korgagesall,1
konditoriagesa,1
kassör bonde,1
vagnmaarbetare,1
metodistpastor kolportör,1
manufakturverkskamrer,1
valsverksarbetare 1877,1
jura kandidat advokat,1
Åbo förrådsvaktmästare,1
kommunlantmätare v.,1
dra torpare,1
stadsfiskal häradshövding vice,1
jarnvagsman,1
byrachef i generalpoststyrelsen,1
sceninstruktör,1
torghandla egare,1
skomakare grenadier fa,1
elev vid chalmerska institutet,1
soldat n:o 1018,1
skeppsgossekarare,1
biträde fadrens,1
jarnvagspackman,1
målarbiträde handlande f. d.,1
hemmansegare fada mjalnare,1
ruggare husega,1
grufarba nao 357,1
egarea fjardingsman,1
timmerma 1108,1
skorstensf,1
platsla nao 584,1
sagva egare,1
Ölnederlagsbokhållare,1
vid gat. o vägarb.,1
jordarbetare korpral vice f.,1
smed bruksarbeta,1
elektricitetsmontör husägare,1
skeppare smed,1
resepredikant för ev. fosterlandsstif.,1
korrenspondent f.d.,1
skradda arb,1
pinnstolssnickare,1
nybygarea idka jordbruk,1
hovslagsmästare,1
klistrare,1
handlande malare,1
biljardägare matvaruhandlare,1
soldat nar 7 vid fernebo kompa,1
mekanikusförman vid stadens vattenledning,1
jordtorpa slagghardare,1
inneboende kvarnarbetare vid saltsjagvarn,1
Änkling repslagerifabrikör,1
sågverksarbetareelev,1
ega packmastare,1
timmerkarl lagenhetsagare,1
barnhusbarn gruvarbetare,1
fältjägare i lövångers kompani backstugusittare,1
valsverksarbetare 1622,1
slajdare husagare,1
soldat n. 80,1
fil dokt och lektor,1
korporal vid musiken,1
hussar nao 2,1
fila kandidat larare extra,1
brunnsgrävare grundgrävare,1
snickeriarbetare artillerist fa,1
kolarea notbindare,1
tjänstehon,1
extra polisbetja,1
sulfaarba,1
f.d. handlande landbonde,1
gardsagare laskedrycksfabraagare,1
inhyses arbetskarl statdräng f.,1
disponent vid kakelugnsfabrik,1
wolontaire,1
tegelbruksarbetare husman,1
svarvare järnarbetare,1
husar nao 60,1
gårdsdräng husar f.d.,1
dressareförman f.d.,1
packmästare vid bageri f.d.,1
hemmansagare charkuterihandlande,1
arba vid lackerfaba,1
jordbruksarba a skomakare,1
va haradshafda stadsnotarie,1
kyrkvaktmästare soldat f. d.,1
styrman ex,1
ankling rararbetare,1
bruksdelegare o ingeniar,1
underlöjtnant vid kungl.götha art.,1
fabriksarbetarförman vid mackmyra sulfitfabrik,1
fiska kramare,1
snickare vid bryggeri,1
maleriararba,1
gardsagare riksdagsman,1
skomaegesall,1
bruksarba fahemega,1
handelsbitrade platslagare,1
jordtorpare fada smaskolelarare,1
dranga larling,1
kapten vid sa skansk infanteriet regatet,1
stearinfabriksförman,1
mejerist handelsresande,1
arbetare nattvakt ex.,1
slaktare livgrenadier f.d.,1
expressbudsvaktmästare,1
fil. doktor myntkamrerare,1
baptistpredikant oa missionsbokhandla,1
ullarbetare,1
jordtorpare hemmansega i spikahult,1
inspektar far brandfarsa bolag,1
jordtorpare i fidum,1
godsägare skogshandlare,1
provinsial oa jernvagslakare,1
husar rekryt,1
soldat fana nao 84,1
inhyses distinktionskorpral,1
eldare vid kronovarfvet,1
skomakarea fada soldat,1
jordtorpare korpral fa,1
lägenhetsarrendator hemmansägare,1
fattigföreståndare hemmansägare,1
korporal nao 59,1
hästskötare f. d.,1
kalkgrovarbetare,1
arrendator i kulla,1
jordtorpare a slagtare,1
torpa aafada solda kyrkvaktare,1
handlande i järn,1
krögare polisbetjänt f.d.,1
statens landtbruksingeniar,1
sjakapten handla,1
krigsarchiva,1
tfa telegrafkomisa,1
omlastareförman,1
hemmansega vafskedsmakare,1
faktaskrifvare,1
hyfvelstallare,1
torpare Ångsågsarbetare,1
pastorsadjunt va komminister,1
eldare vid järnvägen e.,1
drang ainhysaa,1
aktuarie i kgl. kammarkollegium,1
tunnbindaarb,1
inha grufarba,1
kakelsugnsarbeta,1
hemabagare,1
tändsticksfabriksförman f.d.,1
jordtorpare och gratialista,1
infa faltjagare,1
zinketsarelarling,1
fada drang grofarbetare,1
verkmastare vid kockums meka verkstad,1
abo och tegelbruksegare,1
kapten baningenjör,1
faderata masterlots,1
asjamana husaegare,1
aktuarie fil. kand.,1
murarefarman fada,1
medicine kandidat amanuens ea oa,1
bnaa smed,1
arbetare 373,1
föreståndare för fabrik,1
tjänsteman i handels.,1
dagkarl vid fabrik,1
kyrkoväktare fabriksarbetare,1
jernvagslastare,1
Överbibliotekarie,1
linjerare,1
handla o hemmansa,1
apoteka drang,1
jordtorpaa smed,1
advokat fiskal,1
idkare av gjuterimekanisk verkstad,1
platslagaremastare,1
löjtnant vid calmar reg.,1
riksgäldsfullmäktige,1
Överkonstapel vid kronohäktet,1
traarbetare farman,1
hemmansägare järnbruksarbetare,1
hem ega husar,1
magasinsbokhållare f.d.,1
fjardingsman o snickare,1
Ångbåtsmaskinistarbetare,1
kronoangsbruka,1
husmana fada hemmansega,1
vägingenjör vatteningenjör,1
inspektor hemmansegare,1
kopparsla 100,1
mekanisk verkmästare å verkstad,1
skoma hemaegare,1
borrmaskinmästare,1
poststationsföreståndare bergsman handlande,1
provinsiallakaren,1
litografibokhållare,1
nykterhetsvärdshusvärd,1
ornamentsbildhuga,1
parkarbetare gårdsägare,1
lärling extra,1
kassakontrolant,1
fargare jordtorpare,1
handla o gastgivare,1
murarea jordbruksarbetare,1
polis ext. f.,1
masmastare jord torpare,1
landräntmästare,1
varvskommissarie,1
nitroglyserinarbetare,1
gårdsägare skräddarmästare,1
tradgaodlare,1
Änkling mässingsarbetare,1
slaktaregesäll soldat f.d.,1
volontar nao 44,1
sysslomana fa sjakapten,1
husaga landthandla,1
gruffogde grufarba nao 81,1
bagarea hus ega,1
lokomaeldaren,1
järnvägsbokhållare e. o.,1
fräsarlärling,1
disponent för husqvarna dep.,1
torpare renhållningsarbetare f.d.,1
torpar son,1
organist fa skollarare,1
tullvakmastare,1
godsegare fada professor,1
hemmansägare korpral avskedad,1
jordbruksarbetare taktäckare,1
hemmansegare kronoskogvaktare,1
maskinist vid borstbinderibolag,1
stenhuggare skomakare,1
mejeriauskultant,1
farestandare pa hagre folkskola riksdagsman,1
beredningbiträde,1
tegelbruksfyrare,1
sågverkstummare,1
karduansmakagesa,1
infanterist dräng,1
nattvakt snickare,1
plåtslagare vid k. fl. varf,1
arba portvakt,1
drang faltjaga,1
inhyseshjonagratialist,1
arbetare arrendator fa,1
torparea baptistpredikant,1
gardskarl dragon fa,1
landthandlande fada jordbruksarbetare,1
arbetsförman handlande,1
kakelfabriksarbetare f.,1
vaktmästare vid trämassefabrik,1
jordägare kom. nämnds. ordf.,1
revirassistent,1
rosthyttarba vid ammebergs zinkverk,1
mureriarbetaren,1
ingenarselev,1
qvarnbrukare,1
gardsegare metallarbetare,1
jordägare garvaregesäll,1
länsagronom sekreterare v. hush. sällsk.,1
bergarbetare 144,1
faktora arrendator,1
separeringsverksförman,1
fattighustillsyningsman,1
inhyses arbetskarl Åbo f.d.,1
arbetare nao 175,1
sjökapten konsul v.,1
jordbrukare fa da smaskollarare,1
sekreterare 1:a i utrikesdep.,1
lägenhetsägare byggnadssnickare grenadier f.,1
jarngjutariverkmastare,1
metall fabriksidka,1
lotsa torpare,1
2adre konsta 98,1
instrumentmakare matema,1
exaoa kammarskrifvare i tullverket,1
arta nao 51,1
snickare båtsman f.d.,1
snickare kyrkvaktarea fa da soldat,1
stationskarl v. bergslagens järnväg.,1
skinnupphandlare,1
stationsskrivbiträde ex.,1
bonde o fadoradstaga,1
fada stycketorka,1
gjutare n:o 932,1
ansjovisfabriksarbetare f.d.,1
kapten vid bohus lans regate,1
gardsegaea krogfarestae,1
fanjunka bra,1
orgatrampare fiskare,1
Ångbåtskapten lägenhetsägare,1
fajansarbetare f.d.,1
hemmanseg o grenadj,1
kyrkovaktarea kronofjardningsma,1
husma skomakare,1
byrasskrifvare,1
sågverksmästare f.d.,1
småskolelärare soldat,1
arbetare nao 632 artillerist fada,1
timmer gesall,1
maskinarbetare n:o 710,1
handla faa,1
stenhuggeriinspector,1
bruksarbetare torpare.,1
sågverksmaskinist 1:a,1
maskinista torpare,1
lappskollärare,1
inkasserare för lif. bolag,1
sationska,1
egare af ysbygard,1
angfabeflha,1
skomakare hemmansägare Änkling,1
resepredikant skolfarestandare fada,1
snickaarba vid mekasnickerifabrik,1
snicka gardsaga,1
slöjdare båtsman f.d.,1
hovgravar,1
soldat vid kongliga kronobergs regemente nao 5 ljungby kompani,1
plåtslagare n:o 338,1
liffarsakrainspektar,1
averklampare,1
machinist a angmaskin,1
mekana verkstaarbetare,1
maska arba nao 859,1
riksbankkomissionär,1
andrelarare,1
bokförarekontorist,1
handlande Ägare 5,1
underlajtnant vid 2aa lifgrenadier regema,1
torpare i tappan ua hallby skattega,1
lagenhetsega fadahusar idkar handel med hem vafda tyger,1
jordbruksarbetaa fada batsman,1
cemaarba fada artilla,1
bstboa jordarba,1
civla inga,1
kamrer vid gasverket,1
handlaa hema ega,1
hyresgäst tandläkare,1
abo nattvakt hos omna bola,1
inspektor vid kommanditbolag,1
va korpral nao 121,1
kontorsbiträde skeppsmäklare,1
literatar fa ritlarare,1
kopparsla larla,1
landtbrukare egendomsega,1
bultfabriksarbetare torpagare,1
arbetare Ångbåtsförare,1
lättmatros till sjöss,1
disponent far angtvattinrattning enla handakala,1
linbanereparatör,1
korgarbetare tattare,1
gevarssmed ahemmansegarea,1
hyresgast trafikchef,1
jordbraarba fangvaktare,1
hemmansägare vid roes,1
grufarba nao 495,1
revisor hos poststyra,1
borstbinderimästare,1
handlande hemmaaga,1
gjuteriugnskötare,1
zinksmältare,1
kontorsskrivare e.o. i postverket,1
dosfabrikant hemmansägare f.,1
arb husegare,1
plåtslagare n:o 370,1
förpantningsägare snickeriarbetare,1
undantag avskedad soldat,1
hemmansegare ombudsman i arebro lans brandstodsbolag,1
fabriksa och hemaagare,1
platslagare 213,1
verkstadsarbetare å st. järnväg,1
mjalnare och soldat,1
haradsskrifare,1
sold nao 31,1
skeppare trädgårdsmästare,1
trädgårdsmästare hemmansägare f.,1
inhyses jordba arbetare,1
arrendator handlande hemslaktare,1
farpantnaegarea jarnvagsarbetare,1
kaninodlare,1
tandsticksarb,1
landtbra arrenda,1
maskinarbetare n:o 757,1
stenarbetarea brukare,1
hemmansägare grundläggare,1
snickare o lagenhetsegare,1
gårdsägare modellsnickeriarbetare,1
söndagsskolmissionär,1
filare faktoriarbetare,1
methodistfarsamlingens farestandare,1
volontär vid kungl. dalreg.,1
vika folkskolelarae,1
rörläggningsnitare,1
gasentreprenör,1
stationskarl livgrenadier f.d.,1
ahemmansegare skomakare,1
kritbruksarba husegare,1
fabraarba va spinnerifabraa,1
jordarbetare fjerdingsman,1
rektor lektor å gb. realläroverk f.d.,1
mekanisk verkstadsförrådsarbetare,1
marknadshandlare,1
justerare kommalandta,1
kopparslagare n:o 98,1
fila kanda folkskolearare,1
Överbanmästare st. j.,1
fiskare fa sjaman,1
sergeant hyresgast,1
enkling hemaega,1
drang hastjagare,1
backstahjona nattvakt vid jarnvag,1
valsskolestuderande,1
valsverksarbetare n:o 1429,1
lägenhetsägare skomakerifabrikör,1
fila kanda musiklarare,1
skogsarbeta aa hemmansega,1
afverkonduktar gardsaga,1
kontorsbiträde i bergslag. järnväg,1
hafa ingeniar,1
utexa folkskalara,1
slussinspektor fa radman,1
arrendator veterinärläkare,1
sågskärare torpare,1
kapta va jankas rega,1
bergsskoleeleva,1
disponent jägmästare e. o.,1
direktör vid trämassefabrik,1
disponent för timmeraffär,1
jordbruksarbetare portier fada,1
fil. lic.läroverksadjunkt,1
hattmaksarbetare,1
värdsbrevbärare,1
lasarettslak,1
snickerifabraidkare,1
meda lica underlakare,1
haega fa kyrkvard,1
timmerman i eskilstuna,1
segelsammare hemmansagare,1
husman båtsman f.,1
agare gruvarbetare 236,1
avläsare vid elektricitetsverk,1
maskinist vid elektrokemisk fabrik,1
kontorsvaktmastare bita,1
stenarbetare soldat afsked.,1
eaa banvakt,1
pramagare,1
maltkontrollör,1
korpral hamnarbetare,1
jordbruksarbetere kronobatsman fada,1
jägare odelstorpare,1
lasa gradrang,1
charkutagesall,1
gratialist soldat f.d. hemmansägare,1
kassör i hörby bränneriförening,1
tradgardsskatare,1
stenhuggare 2448,1
träsliperiarbetare torpare,1
handlandeaodelstorpa,1
ea vaktkonstapel,1
platslagare 292,1
järnsvarvare vid mekaniskverkstad,1
sulfitarkavtagare,1
fada stadsarb,1
torpare bryggare,1
gjuthandtlanga,1
stationsvaktkarl,1
maskinarbetare n:o 878,1
trafikchef major,1
stadsvaktmastarea fa poliskonstapel,1
mjalnarearbetare,1
snickare agare brukare,1
handlande och farpantnaega,1
boskapshandlare lantbrukare,1
torpare hemmansbrukare f.d.,1
exekutionsvaktmasta,1
löjtnant vid göta artilleri regemente,1
arba fada 2adra kanta,1
tafa skollarare mama,1
kyrkoväktare undantagsägare,1
backstugusittare kolportör,1
possessionata skeppsbyggmastare,1
folkskolelärare i bexheda,1
spinneriarbetare husägare,1
verkmästare vid mek. fabrik f.d.,1
ega af hus a laga,1
spetsknypplare,1
gratialist rattare fa,1
medarbetare vid aftonbladet,1
fattig skomakare,1
fattighjon traarbeta,1
flottchef f.,1
grenadier inhyses,1
hemabruka snickare,1
postexpeditör 1:st,1
banktjänsteman handelsbolagsdirektör,1
nybaa valsverksarba,1
hemmanseg och kyrkvard,1
ravaoa bolagsdirektar,1
disponent järnhandlare,1
tyggårdshantverkare,1
arbetare vid billeruds pappersmassefabra,1
maskinsmedamastare,1
slakthuskassör,1
intaega,1
brittisk konsularagent handlande,1
ringledningsuppraknare,1
sidenfabrikör grosshandlare,1
lemonadkörare,1
utarba 988,1
kronobatsmana hemmansegare,1
undantagshj kyrkvaktare,1
arbetare postbiträde f.d.,1
kapten o kamrer,1
dragon n:o 84 f.,1
bygghantlangare,1
plåtslagare n:o 553,1
arbetare nao 67,1
slaktare husar f.d torpare,1
1aste landtmatare i sadermla la,1
putsmästare vaktmästare,1
extra postvaktbetja,1
rotebåtsman 149,1
undinspektor,1
trankokare,1
bokhållare trävaru,1
fabriksdessinatör,1
portvakt gasarbetare,1
komma landtmata,1
segelduksvävare,1
syrarbetare,1
skeppshandelsbitrade,1
Åbo å prästannex,1
husma ega,1
regissör vid operan 1:e,1
arrendator till may 01,1
agare fargare,1
skollarare o klockare fa,1
hemmansega fa da fyrmastare,1
volontara brukare,1
stubinfabrikör,1
järnbolagsdirektör,1
brännmästare Åbo,1
rysk prest,1
verkmästare å fanerfabrik,1
konsistorieamanuens t.f.,1
pastorsadjaa skolmastare,1
bevakningsbefälskapten f.d.,1
bryggeritjänsteman byggmästare,1
gjutare 1311,1
stenhuggare hyresgasta,1
sejleriarba,1
farpaegaa smed,1
haegaa slaktare o fiskare,1
inhas hja jordarbetare,1
husman stenhugga,1
kyrkovaktaa torpa,1
sjatullafveruppsa man,1
haradshafding va radman,1
gardssangare,1
elektricitearbetare,1
brukare handlande fada,1
hemaeare,1
dranga garfveriarbetare,1
jordarbetare agare,1
kvarnagare soldat fa,1
filare vid statens jarnvagsverket,1
arba fa hemaega,1
tradgas mastare,1
skomakarea fa korporal,1
kopparslagaremästare plåtslagerimästare,1
modellsnickare a holmens verksta,1
lanstradg masta,1
lägenhetsägare repslagare,1
stehuggare,1
hema a qvarnegare,1
koppaslaarba,1
lådspikare vid tapetfabrik,1
skoma bstsitta,1
smeda hofslagare,1
timmerman lägenhetsägare soldat f.d.,1
dragarbetare,1
färgmästare i färgeri,1
jernsvarfara,1
hantlangare portvakt,1
gratialist hemmansbrukare f.d.,1
hyrvagnskusk,1
husmansägare husar,1
korpral no 94,1
hemmansbrukare kyrkovaktare oa fjerdingsman,1
inhyseshjona penningpungmakare,1
hemmansega landthandlare,1
lagenhetsagaa handlandeaa fa sergeant,1
pantlånare handlare f.d.,1
järnmanufakturdirektör,1
sifferrevisor f.d.,1
arrendator farntva,1
järnmöbelfabrikör,1
skakapten,1
hus oa jordbruk,1
esskornettist,1
tjanstelasvaktmastare,1
stilgjutlarling,1
lagaegaa malare,1
gardens innhafvare,1
konsultbiträde,1
hyttarbetare soldat f. d.,1
jordbruksdagkarl f.d.,1
farsastadsakomma,1
tegelmastare hemmansega enla kalendern,1
fil. doktor pedagog,1
handlande o godsegare lantbrukare,1
hemmansega oa fada kronolots,1
samfabriksarbeta,1
fargare fabriksarbetare,1
cikoriefabra disponent,1
måleriarbetare Ägare 6,1
hyr major,1
cykelreparatör smed,1
skogschef,1
hammarsmed n:o 1175,1
lasa smaskollarare,1
vavare gardsagare,1
arbetsförman vid lastningen vid sulfatfabriken,1
dagsverkstorpare klockare orgelnist,1
lagenhetsegarea werkstaarbetare,1
flottningsinspektor f. d.,1
folkskollana,1
jordtorpaafadasoldat,1
skogvaktare betjänt f.d.,1
pappersbrukmontör,1
folkska inspektar,1
gransridare exa,1
hemmega grufarbeta,1
grufarba nao 384,1
korgmakaidka,1
jordarbetare sjaman,1
skomakar drang,1
potatisarbetare,1
järntryckare,1
måleriarbetare inneboende,1
sjama o hega,1
förman vid bessemerverk,1
charka handla,1
rotebåtsman n:o 121,1
disponent v. fabr.,1
reseeffektsarbetarelärling,1
jordarba afska soldat,1
hemmaegare gastgifvare,1
korporal nao 45,1
kvarn lägenhet,1
hjalpeldare,1
underofficer arrendator,1
lagenhetsegare handlande,1
e. o. hovrättsnotarie,1
tomtegare stationskarl,1
telefonskötare,1
hälsogårdstillsyningsman 1:a,1
varvspoliskommisarie,1
grufarbeta nao 66,1
smaskola,1
bleckfabrikör plåtslagerifabrikör f.d.,1
godsägare kapten f.d,1
ingenaraa,1
skrotjärnshandlare,1
torpare pensionär soldat,1
kakelugnsfabrikar fa da,1
järnverksförman f.d.,1
sockenmurare,1
litteratar filakanda,1
kvarnega a abo,1
silverpressare,1
hadelsbokhallare,1
nybyggare slajdare,1
hemmansagarea sjakaptena fa da,1
torpare korpral v.,1
barlastvaktma,1
arbetskarl skomakare f.d.,1
skrotsprängare bergsman,1
hemmansega faltja,1
hemmansägare hästskofabriksarbetare,1
korpral vid i 5 f.,1
jordbrukarea fada sergeant,1
bankbokhallra,1
baningenjör maskiningenjör,1
kronobåtsman n:o 40,1
handelsbitradet,1
telefonföreståndare stationskarl f.,1
förrådsförvaltare vid Östgöta trängkår,1
kvarnarbetare husägare,1
baktugusitta,1
odelstorpare snickareson,1
bonde o timmerarba,1
Åkare dragon f.,1
eaoa postexpditar,1
reserv. körare,1
eaoa postvaktma,1
gjutare förman,1
velocipedmontar,1
musik derektar,1
bomullsvafverifabrikar,1
korgmakare eldare,1
valsva 1280,1
eaoa kommunister,1
valsverksarbetare n:o 1298,1
skollarare orga,1
prästgårdstorpare skogsfaktor,1
jarnhandlare gjuterimastare,1
maskinverkstadsarbetare plåtslagare,1
arbetare vid mangelinrättn.,1
fa va korporal timmerman,1
polisuppsyningsa fada soldat,1
skogsarbetare skräddare,1
hemmansagare fa grenadier,1
predikant och jordarbetare,1
va korpral nao 140,1
bagaregessa,1
kronojärnsvarvare f.d.,1
skraddla,1
järnvägsarbetare skomakare,1
skarvakt,1
arrendator båtsman n:o 190,1
jordägare agent,1
chaufför spårvagnskonduktör,1
Ägare gratialist lägenhetsägare,1
jarnvagsanstalld fa,1
grovarbetare artillerist fada,1
expressåkare,1
drang haradstjanare,1
mjalnaredrang dragon,1
Änkling kyrkovärd f.d.,1
lajtnant vid nerikes regate,1
volontar armen och flotta,1
båtsman n:o 156,1
tomtägare landsfiskal,1
timmerman poliskonstapel extra,1
vagnskarl vid statens järnväg husägare,1
torparea maskinarbetare,1
jordarbetare husarkorpral f. d.,1
landthanda hemmansegare,1
verkmästare vid chokladfabrik,1
auktionsfarrattare fa torpare,1
järnvägsassistent f.d.,1
mekaarbea,1
exekutionsvaktma,1
biträde i mjölkaffär,1
stadsbud drang,1
sademakaregesa,1
torpa fad artillerist,1
kapten afskeda,1
stadsarbetskarl,1
jordtorpare tegelslagare,1
vagnmakarearba,1
verkstadsgrovarbetare,1
volontar vid va norrlands rega,1
malmroddare stenarbetare,1
vice corpl. n:o 37,1
kronorattare jordbruksarbetare,1
trummare,1
sharolavafvare,1
statdrang afiskarea,1
gardelma jatorp,1
kammarskrivare i tullhuset,1
sågarbetare stenarbetare,1
jordbrukare fa mjalnare,1
tidningsredaktör f.,1
gruffogde grufarba nao 160,1
statdrang adrga,1
arrendator skomakare f.,1
stardrang,1
ladugardsfarestand,1
torpare oa fjerdingsman,1
garvarebitrade,1
lajtnant aafskaa,1
soldat n:o 333,1
mejeriarbeta,1
föreståndare fil kand. folkskollärare,1
renhallningska va jernva a,1
rega 5 veterinar fila dra,1
bataljonsadjutant vid verma faltjag,1
lajtnanta hega,1
valsverksarbetare n:o 1309,1
kopparhyttförman,1
gårdsägare styrman,1
fickknivssmärglare,1
medalicent,1
folkbankskassör,1
tegelslagerimästare,1
bosättningshandlare,1
statdräng kapten f.d.,1
hemmansagare i erstaby,1
tomtförsäljare,1
arbetare nao 719,1
tobakspackare,1
gelbgjutare fa grenadier,1
husegare oa skomakare,1
kakelungnsarba,1
fil. kand. samskolelärare t. f.,1
bruksmästare f.d.,1
ega smedmasta,1
kronoskatorpare,1
fyrmästare skeppare f.d,1
underlöjtnant vid smål. hus.,1
gjutare 1344,1
arbetare nao 664,1
hemmansägare statdräng,1
lokomotivfararefarma,1
exa orda kustva,1
fabriksingniör,1
odelstorpare flottningsförman,1
konsul v. engelsk disponent f.d.,1
askraddare och handlandea,1
grosshandlarea gardsegarea,1
lokoma ta putsa,1
orgeltrampare hamnarbetare,1
jordbrukare dagkarl mjölkkörare,1
husagare alfarsaljare,1
skräddare Ägare 11,1
telefonarbetareförman extra,1
egaa murare,1
hemmansagare fada inspektor,1
hemmansägare telefonreparatör,1
malare skogvakta,1
brukahusartorpet,1
afveraklampa,1
planchettillverkare,1
souschef Överdirektör,1
väveriarbetare vice korpral f.d.,1
tradga inspekta,1
malmskradare,1
skomakare husbonde f.d.,1
ladugårdskarl sjöman f.,1
järnvägstationsmästare,1
järnvägstimmerman,1
husmana aarbetareaa,1
akarearbetare,1
fiskare lägenhetsinnehavare,1
farvaltare ankling,1
soldat vid kungla westgata regate,1
kyrkoherde kongla hofpedka,1
methodistpastor,1
tunnb arba,1
Ägare inackorderad,1
delägare i jordegend.,1
barras arbetskarl,1
lägenhetsägare grovarbetare soldat n. 80 f.d.,1
jordtorpare fada skeppare,1
egaa slakta,1
brädgårdsjusterare,1
vaktmästare magasinsdräng,1
bonde i rengsjö,1
skomakare o inhyseshjon,1
inspektor vid skogshygge,1
aa student,1
spinnerismörjare,1
maja,1
bagare bergsman,1
2 kostapa 2 batta,1
nybyggarea grufarbetare,1
hemmansaga ea banvakt,1
snickarmästare korpral f.d.,1
drang hos hemmansega nils persson munkagard,1
jordarbetare fa da pontonier,1
inhyses timmerkarl,1
