occstrng,n
uteaarba,160
landtbonde,160
smidesmästare,160
sockerbruksarba,160
fiskardräng,160
expressarbetare,159
soldater,159
brandvakt,159
hemsaga,159
flottningsförman,159
gruvförman,159
smideshantlangare,159
lagerchef,158
spinnmästare,158
gruvjordägare,158
stensprängare,158
las arba,158
garfveriarbetare,158
inhasarbetare,158
ladugårdsarrendator,158
velocipedreparatör,157
ladugakarl,157
maskinreparatör,157
pastor v.,157
tegelbrännare,157
lagerbitrade,156
Änkling hemmansägare,156
gruvdräng,156
barare,156
backsthjon,156
utjordsegare,156
kammarskrivare e.o.,156
landthandlande,156
timmerhandlare,156
jordbrukstorpare,156
tegelbruksarba,155
telegrafarbetare,155
kakelugnsma,154
dödgrävare,154
